schema_name,table_name,column_name,data_type,is_nullable,column_default
public,alternatetitles,alternate_title_id,integer,NO,nextval('alternatetitles_alternate_title_id_seq'::regclass)
public,alternatetitles,movie_id,text,YES,
public,alternatetitles,ordering,integer,YES,
public,alternatetitles,title,text,YES,
public,alternatetitles,region,text,YES,
public,alternatetitles,language,text,YES,
public,alternatetitles,types,ARRAY,YES,
public,alternatetitles,attributes,ARRAY,YES,
public,alternatetitles,is_original_title,boolean,YES,
public,castandcrew,movie_id,text,NO,
public,castandcrew,person_id,text,NO,
public,castandcrew,start_date,text,YES,
public,castandcrew,end_date,text,YES,
public,castandcrew,occupation_id,text,NO,
public,episodes,episode_id,text,NO,
public,episodes,parent_movie_id,text,YES,
public,episodes,season_number,integer,YES,
public,episodes,episode_number,integer,YES,
public,filmroles,film_role_id,integer,NO,nextval('filmroles_film_role_id_seq'::regclass)
public,filmroles,movie_id,text,YES,
public,filmroles,person_id,text,YES,
public,filmroles,ordering,integer,YES,
public,filmroles,character_name,text,YES,
public,genre,genre_id,integer,NO,
public,genre,genre_name,text,YES,
public,moviegenres,movie_id,text,NO,
public,moviegenres,genre_id,integer,NO,
public,movies,movie_id,text,NO,
public,movies,title,text,YES,
public,movies,original_title,text,YES,
public,movies,is_adult,text,YES,
public,movies,start_year,text,YES,
public,movies,end_year,text,YES,
public,movies,runtime_minutes,text,YES,
public,occupations,occupation_id,integer,YES,
public,occupations,occupation_title,text,NO,
public,people,person_id,text,NO,
public,people,name,text,YES,
public,people,birth_year,text,YES,
public,people,death_year,text,YES,
public,rating,rating_id,integer,NO,nextval('rating_rating_id_seq'::regclass)
public,rating,movie_id,text,YES,
public,rating,rating_value,numeric,YES,
public,rating,num_votes,integer,YES,
public,rating,rating_timestamp,timestamp without time zone,YES,
public,rating,rating_source,text,YES,
public,titlecrew,title_crew_id,integer,NO,nextval('titlecrew_title_crew_id_seq'::regclass)
public,titlecrew,movie_id,text,YES,
public,titlecrew,director_ids,ARRAY,YES,
public,titlecrew,writer_ids,ARRAY,YES,
